scene,solver,iterations,steps,N_bodies,N_contacts,N_joints,ms_per_step,drift_max,Linf_penetration,energy_drift,cone_consistency,simd,threads,soa_contact_ms,soa_row_ms,soa_joint_distance_ms,soa_joint_pack_ms,soa_solver_ms,soa_solver_warm_ms,soa_solver_iter_ms,soa_solver_integrate_ms,soa_scatter_ms,soa_step_ms
two_spheres,baseline,10,1,2,1,0,0.024108,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0
two_spheres,cached,10,1,2,1,0,0.030233,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0
two_spheres,scalar_soa,10,1,2,1,0,0.056132,0,0,0,1,1,1,0.00039,0.032817,5.4e-05,0.008307,0.013064,0.007184,0.0043,0.000549,3.6e-05,0.056132
two_spheres,scalar_soa_vectorized,10,1,2,1,0,0.057199,0,0,0,1,1,1,0.000319,0.022656,6e-05,0.015796,0.002781,0.001004,0.001087,0.000344,5.2e-05,0.057199
spheres_cloud_1024,baseline,10,30,1025,3782,0,1.15661,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0
spheres_cloud_1024,cached,10,30,1025,3782,0,1.50916,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0
spheres_cloud_1024,scalar_soa,10,30,1025,3782,0,2.38778,0,0,0,1,1,1,0.24748,0.519395,5.36e-05,0.000276567,1.61986,0.0119579,1.45363,0.0786696,6.53e-05,2.38778
spheres_cloud_1024,scalar_soa_vectorized,10,30,1025,3782,0,1.92676,0,0,0,1,1,1,0.367351,0.541386,4.35e-05,0.000289167,1.01575,0.00977277,0.774687,0.153901,4.49333e-05,1.92676
box_stack_4,baseline,10,30,5,4,0,0.0019895,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0
box_stack_4,cached,10,30,5,4,0,0.00388117,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0
box_stack_4,scalar_soa,10,30,5,4,0,0.0059119,0,0,0,1,1,1,0.000517433,0.00163043,2.42667e-05,0.000675367,0.0024765,0.000281567,0.00149577,0.000402433,2.41e-05,0.0059119
box_stack_4,scalar_soa_vectorized,10,30,5,4,0,0.00445297,0,0,0,1,1,1,0.0003392,0.00146757,2.42333e-05,0.000317433,0.00159357,6.70667e-05,0.000861033,0.000409167,2.46e-05,0.00445297
